from	from_type	type	to	to_type
Kuroda1983-28		relation	Raising to Object	
		relation		
The Minimal Sentential Answer Strategy		relation	Kuno 1982-sec2-17d	
Merge (n-ary)		relation	BP	
Feature-Equilibrium		relation	No two valued Fs in an F-equilibrium	
STC		relation	Stability of {XP, YP}	
respective reading in disjunction		relation	respective reading in disjunction	
KimuraNarita2021-3c1Q		relation	KimuraNarita2021-3c2	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-25b	
Merge-only hypothesis		relation	linear order irrelevant	
Hirose2018-22		relation	subject-orientation of zibun	
2011_Obata+Epstein-25a		relation	Feature-Splitting Internal Merge	
labeling algorithm		relation	2014_Epstein+Kitahara+Seely-9b	
OHE16-Movement-and-Islands-19b-i		relation	OHE16-Movement-and-Islands-19b-ii	
Argument Ellipsis Possible in Japanese		relation		
extraction out of so-anaphora impossible		relation	sakamoto2022_11	
nonconstituent coordination (NCC)		relation	nonconstituent coordination (NCC)	
		relation		
Kuroda1986a-100		relation	Subjectivization	
ADC		relation	ECP-Subj	
		relation		
Pecking Order of Deletion Principle		relation	Kuno 1982-sec3-14c	
		relation		
plural_marking_lost		relation	V-to-Agr_lost	
Kuroda1986a-104		relation	Subjectivization	
OHE20-Sluicing-and-Its-Subtypes-44b		relation	OHE20-Sluicing-and-Its-Subtypes-44a	
		relation		
Lechner2018		relation	Romero1998	
coordination scope generalization		relation	TLS97	
NF2-34b		relation	NF2-37	
wh-movement		relation	TLS366	
Displacement Calculus		relation	Displacement Calculus	
Recoverability of the Descriptive Content in Nominal Subdeletion		relation	OHE22-Nominal-Ellipsis-56b	
subject-orientation of zibun		relation	Koizumi2008MS-6a	
anomalous scope		relation	Chaves2005	
		relation	いのほた言語学チャンネル:392	
Kuno 1982-15a		relation	Surface Subject Constraint	
verb_movement_reduced		relation	unaccusative_selected_have	
No subject scrambling in Japanese		relation	takita_2010_dissertation-38b	
OHE10-ellipsis-in-inquisitive-semantics-27		relation	OHE10-ellipsis-in-inquisitive-semantics-12c	
Mainstream Generative Grammar		relation	Mainstream Generative Grammar	
labeling algorithm		relation	2015_Chomsky-6	
Kishimoto2008MS-31b		relation	verb-stranding VP-ellipsis analysis of Argument Ellipsis	
Oshima's 2004 Revised Subjecthood Condition on Zibun		relation	c-commanding requirement of zibun binding	
child language		relation	child language	
cleft analysis of sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-20b-ii	
wh-movement		relation	TLS368	
Kuroda1986a-124		relation	in-situ topic	
Oshima2004-1a		relation	Oshima2004-1a_J	
Takahashi2008MS-10		relation	verb-identity condition on verb-stranding VP-ellipsis	
Transfer Multiple Agreement		relation	There-construction in-situ agreement	
FSC		relation	phasehood of TP	
no checking-Merge		relation	no Subj	
		relation	痛み＝血流障害	
Pecking Order of Deletion Principle		relation	Kuno 1982-sec3-4b	
		relation		
extraction out of ellipsis (hypothesis)		relation	extraction out of so-anaphora impossible	
Takano2008MS-fn25ii		relation	Takano2008MS-fn25ii_J	
A'-Opacity Effect		relation	A'-Opacity Effect	
Kuroda1986a-83		relation	tough sentence (in Japanese)	
Pecking Order of Deletion Principle		relation	Kuno 1982-sec3-14b	
Active and Passive Discourse-Rule Violations		relation	Kuno 1982-sec3-14c	
VP-shell_developed		relation	passive_generalized	
finite control		relation	finite control	
Surface Subject Constraint		relation	Kuno 1982-20a	
No phi-agreement requirement in Japanese		relation	No ECP effect on Japanese subjects	
PHON-mapping		relation	BP	
		relation		
Active and Passive Discourse-Rule Violations		relation	Kuno 1982-24	
Kuno 1982-sec1-1		relation	ellipsis	
FSC		relation	local instability-NF	
island repair		relation	island repair	
Kuroda1986a-22		relation	NP movement (in Japanese)	
Greenbergian universal		relation	Greenbergian universal	
Kuroda1986a-115		relation	in-situ topic	
Japanese tits have core-Merge		relation	Japanese tits can distinguish A R and AR	
Oshima2004-16b		relation	subject-orientation of zibun	
Kuroda1986a-5		relation	Equi NP deletion	
		relation		
		relation	健康tipsの調べ方	
		relation		
that-clauses_complements		relation	that_reanalyzed_complementizer	
Kuroda1986a-118		relation	ga-wa alternation	
labeling algorithm		relation	2013_Chomsky-20	
Kuroda1978-54		relation	tokoro phrase as modifier	
		relation		
multiple topics		relation	multiple topics	
Poole2022		relation	Futagi2004	
direct compositionality		relation	Logical Form (LF)	
Optimality Theory		relation	Freedom of Analysis	
verbs_ceased_move_AGR		relation	subject-participle_agreement_lost	
Kuroda1983-30		relation	causative	
Oshima2004-16a		relation	c-commanding requirement of zibun binding	
		relation		
Binding Condition A		relation	2013_Chomsky-1	
Empty Noun		relation	OHE22-Nominal-Ellipsis-40a	
		relation	Kawahara2026-AI-note	
Neanderthals had language		relation	Deliberate burials conducted by Neanderthals	
Kuroda1986a-2		relation	Predicate Agglutination	
Empty Operator Movement		relation	Empty Operator Movement	
No phi-agreement requirement in Japanese		relation	subjectless clause in Japanese	
OHE10-ellipsis-in-inquisitive-semantics-27		relation	OHE10-ellipsis-in-inquisitive-semantics-12b	
Japanese -to 'that' is a complementizer		relation	Saito2016-10ii	
Kager1999		relation	gara-gara	
KNGeneralization		relation	KimuraNarita2021-3b1Q	
licensing_participles_Spec-Head		relation	perfect_be_replaced	
prototype		relation	prototype	
V-to-T_lost_17		relation	object_shift_unavailable	
island evasion approach		relation	OHE16-Movement-and-Islands-35	
		relation		
Linearization-based HPSG		relation	Linearization-based HPSG	
Derivation		relation	Multiplicity of Transfer	
		relation		
Oshima2004-fn3(i)		relation	Oshima2004-fn3(i)_J	
		relation		
C-Agreement		relation	C-Agreement	
		relation		
tough sentence (in Japanese)		relation	tough sentence (in Japanese)	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-10b	
OHE22-Nominal-Ellipsis-35a		relation	OHE22-Nominal-Ellipsis-35b	
Linear Categorial Grammar		relation	Linear Categorial Grammar	
There-construction in-situ agreement		relation	NF3-28bi	
		relation		
Symmetrizing Syntax		relation	Symmetry Principle	
STC		relation	ADC	
		relation		
transformational grammar		relation	transformational grammar	
Hirose2018-22		relation	c-commanding requirement of zibun binding	
Anti-c-command Requirement		relation	Anti-c-command Requirement	
OHE16-Movement-and-Islands-12a		relation	OHE16-Movement-and-Islands-12b	
Minimalist Program (MP)		relation	UG Reduction	
labeling algorithm		relation	2014_Epstein+Kitahara+Seely-8a	
		relation		
crisp judgment		relation	crisp judgment	
Logical Form (LF)		relation	Logical Form (LF)	
Ban Against Partial Discourse Deletion		relation	Kuno 1982-21a	
NF3-30		relation	NF3-30d	
		relation	second language aquisition (L2)	
		relation		
HNPS analysis of multiple sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-43a	
Takahashi2008MS-39b		relation	verb-stranding VP-ellipsis analysis of Argument Ellipsis	
Double Peak Analysis		relation	transfer	
Pred_introduced		relation	it_appear_small_clause	
features asymmetrize		relation	Stability of {XP, YP}	
Takahashi2008MS-38b		relation	verb-stranding VP-ellipsis analysis of Argument Ellipsis	
es_changed_determiner		relation	group_genitives_developed	
2011_Obata+Epstein-20a		relation	Feature-Splitting Internal Merge	
OHE10-ellipsis-in-inquisitive-semantics-19		relation	OHE10-ellipsis-in-inquisitive-semantics-16b	
copy theory		relation	copies featurally nondistinct	
Takahashi1994		relation	cleft analysis of sluicing	
lexicalist syntax		relation	lexicalist syntax	
OHE10-ellipsis-in-inquisitive-semantics-27		relation	OHE10-ellipsis-in-inquisitive-semantics-10a	
anomalous scope		relation	AbeilleEA2014	
Kuroda1983-34		relation	multiple subject construction	
		relation		
Kuroda1978-4		relation	Subject ni-Raising	
V-to-I raising		relation	V-to-I raising	
locality condition on sloppy reading in VP-ellipsis		relation	kishimoto2008MS-5a-sloppy	
Oshima2004-fn7(i)a		relation	Oshima2004-fn7(i)a_J	
ne_weakened		relation	ne_lost	
		relation		
		relation		
Pecking Order of Deletion Principle		relation	Kuno 1982-6	
STC		relation	(non-)obligatory SAI	
focus movement		relation	focus movement	
Simpler Syntax		relation	Simpler Syntax	
Fukui1986/1995		relation	Fukui1995b	
symmetry of Merge		relation	no specifier-of	
		relation		
Argument Ellipsis Possible in Japanese		relation	Sugisaki2016-14bii-sloppy	
Oshima2004-fn3(i)		relation	c-commanding requirement of zibun binding	
Kuroda1986a-80		relation	eru sentence	
		relation		
subject-orientation of zibun		relation	Kishimoto2016-39b	
Binding Condition A		relation	Binding Condition A	
		relation		
present_participles_gerunds_unified		relation	gerunds_verbal_features	
InTheDomainOf		relation	Holmberg’s Generalization:	
free word order		relation	free word order	
Kuno 1982-17e		relation	Surface Subject Constraint	
Hypothesis W-2		relation	NF2-137aii	
Ban Against Partial Discourse Deletion		relation	Kuno 1982-sec3-17b	
		relation		
cleft analysis of sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-20a-ii	
aboutnessProposition		relation	no multiple focus-fronting	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-n18iib	
abe2009ex151		relation	abe2009g	
pragmatic account of islands		relation	TLS554	
possessives_in_Spec_DP		relation	possessives_determiners_postnominal_lost	
		relation		
Pecking Order of Deletion Principle		relation	Kuno 1982-sec3-12c	
verbs_move_different_heads		relation	SVO_established_OE-ME	
morphological_cases_lost		relation	positions_roles_personal_pronouns_fixed	
		relation		
OHE22-Nominal-Ellipsis-41b		relation	OHE22-Nominal-Ellipsis-41a	
Kuroda1986a-36		relation	NP movement (in Japanese)	
Ban Against Partial Discourse Deletion		relation	Kuno 1982-20	
Argument Ellipsis Possible in Japanese		relation	Takahashi2008MS-9bi	
c-command NPI licensing of sika		relation	c-command NPI licensing of sika	
value_directionality_changed_in_the_12th_century._		relation	SVO_standard	
Symmetry Principle		relation	Multiplicity of Transfer	
Kuroda1986a-123		relation	ga-wa alternation	
		relation		
split antecedent		relation	split antecedent	
verb-stranding VP-ellipsis analysis of Argument Ellipsis		relation	Kishimoto2008MS-1b-sloppy	
No Phi in Japanese		relation	No phi-agreement requirement in Japanese	
infinitive_endings_lost		relation	T_emerged_bare_infinitives	
No special feature involved in Topicalization		relation	topic iterable	
Criteria		relation	no specifier-of	
structure dependence		relation	NF1-45a	
transformation		relation	transformation	
		relation		
Kuroda1978-66		relation	Subjectivization	
Kuroda1983-37		relation	double o marking	
subject-orientation of zibun		relation	Koizumi2008MS-5a	
Kuroda1986a-146		relation	in-situ topic	
gerunds_project_TP		relation	passive_perfect_in_gerunds	
2011_Obata+Epstein-20b		relation	Feature-Splitting Internal Merge	
		relation		
functional question		relation	functional question	
Generalized Predication		relation	no multiple focus-fronting	
resultative		relation	resultative	
		relation		
The Minimal Sentential Answer Strategy		relation	Kuno 1982-14b	
KNGeneralization		relation	KimuraNarita2021-3a2	
Kuroda1986a-116		relation	ga-wa alternation	
Kuroda1978-6		relation	Counter Equi NP Deletion	
genitive_degrammaticalized		relation	genitive_to_a_clitic	
nonsyntactic account of islands		relation	nonsyntactic account of islands	
accusative_default		relation	accusative_absolute_reintroduced	
		relation		
Empty Noun		relation	OHE22-Nominal-Ellipsis-19c	
OHE22-Nominal-Ellipsis-56b		relation	OHE22-Nominal-Ellipsis-55a	
		relation	Kawahara2026d	
Kuroda1978-9		relation	Straight Equi NP deletion	
Kuroda1986a-6		relation	Counter Equi NP Deletion	
Lexical Functional Grammar (LFG)		relation	Lexical Functional Grammar (LFG)	
Oshima2004-16b		relation	Oshima2004-16b_J	
		relation	phonology	
isomorphic sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-29a	
discontinuity connective		relation	discontinuity connective	
Ban Against Partial Discourse Deletion		relation	Kuno 1982-18c	
		relation		
		relation	アルコールとの上手な付き合い方	
non-coordinate Gapping		relation	TLSp47n6-1	
auxiliaries_merged_T		relation	auxiliaries_and_main_verbs_distinguished	
OHE16-Movement-and-Islands-2a-i		relation	OHE16-Movement-and-Islands-2a-ii	
definiteness island		relation	Who_i did you see [a picture of t_i ]?	
OHE10-ellipsis-in-inquisitive-semantics-19		relation	OHE10-ellipsis-in-inquisitive-semantics-18	
object shift		relation	object shift	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-24	
Poole2022		relation	Bittner1994	
2011_Obata+Epstein-8		relation	A'-Opacity Effect	
wh-movement		relation	TLS376	
		relation		
KubotaLevine2020		relation	island sensitivity	
extraction out of so-anaphora impossible		relation	sakamoto2022_10a	
2011_Obata+Epstein-23		relation	A'-Opacity Effect	
		relation		
Kuroda1978-70		relation	Subjectivization	
Empty Noun		relation	OHE22-Nominal-Ellipsis-38	
Ban Against Partial Discourse Deletion		relation	Kuno 1982-sec3-17d	
Improper Movement		relation	Improper Movement	
KNGeneralization		relation	KimuraNarita2021-4a	
uniqueness parameter		relation	multiple sluicing	
Kuroda1983-14		relation	multiple nominative construction	
entailment-based NPI licensing		relation	semantic approach to NPI licensing	
Argument Ellipsis Possible in Japanese		relation		
Hirose2018-24		relation	subject-orientation of zibun	
subject-orientation of zibun		relation	Koizumi2008MS-13a	
		relation		
multiple subject construction		relation	multiple subject construction	
Pecking Order of Deletion Principle		relation	Kuno 1982-sec1-23b	
OHE22-Nominal-Ellipsis-26c		relation	OHE22-Nominal-Ellipsis-26d	
		relation		
CP_project		relation	that_introduce_sentences	
Kuroda1986a-117		relation	in-situ topic	
non-isomorphic sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-22b	
Stability of {XP, YP}		relation	No special feature involved in scrambling	
		relation	言語能力は人工知能で解明できるか	
partial syntactic sensitivity		relation	Takahashi2004	
SMT		relation	UG Reduction	
Lambda Grammar		relation	Lambda Grammar	
subject-orientation of zibun		relation	zibun-binding via theta-prominence	
		relation	SakamotoM2026	
parallelism constraint for ellipsis binding		relation	takita2018-13b2	
feature neutralization		relation	feature neutralization	
coordination scope generalization		relation	TLS100	
Kuno 1982-sec2-19b		relation	Surface Subject Constraint	
T with q		relation	(non-)obligatory SAI	
logophoric zibun		relation	Oshima2004-1a	
Lechner2018		relation	Fox1999	
KNGeneralization		relation		
Merge (n-ary)		relation	linear order irrelevant	
		relation		
Harada1973a		relation	DoC1	
Box Theory		relation	no successive-cyclic movement	
coordination scope generalization		relation	Optional Quantifier Merger	
Pecking Order of Deletion Principle		relation	Kuno 1982-sec2-5a	
non-isomorphic sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-26c	
Linguistics as a Natural Science		relation	Linguistics as a Natural Science	
veridicality-based NPI licensing		relation	veridicality-based NPI licensing	
		relation		
MERGE (Chomsky's Version)		relation	Extensions of Merge	
		relation		
Linearization-based HPSG		relation	Linearization-based HPSG	
Kuroda1986a-84		relation	multiple nominative sentence	
		relation		
OHE22-Nominal-Ellipsis-26e		relation	OHE22-Nominal-Ellipsis-26f	
voice mismatch		relation	voice mismatch	
		relation		
anomalous scope		relation	anomalous scope	
		relation		
Pecking Order of Deletion Principle		relation	Kuno 1982-n6i	
		relation		
OHE10-ellipsis-in-inquisitive-semantics-28		relation	OHE10-ellipsis-in-inquisitive-semantics-29	
Kuno 1982-13		relation	Surface Subject Constraint	
		relation	Internal Merge (IM)	
OHE16-Movement-and-Islands-4b-ii		relation	OHE16-Movement-and-Islands-4b-i	
		relation		
locality condition on sloppy reading in VP-ellipsis		relation	kishimoto2008MS-5b-strict	
behavior_pronouns_changed		relation	position_pronouns_fixed_17	
Oshima2004-16b		relation	c-commanding requirement of zibun binding	
